iter	Passed	Remaining
400	29175	43580
401	29249	43509
402	29320	43435
403	29391	43359
404	29475	43303
405	29542	43222
406	29602	43130
407	29659	43035
408	29719	42943
409	29781	42856
410	29841	42766
411	29905	42680
412	29964	42588
413	30021	42494
414	30081	42403
415	30146	42321
416	30216	42245
417	30283	42164
418	30349	42084
419	30422	42011
420	30482	41922
421	30541	41832
422	30598	41738
423	30656	41647
424	30715	41555
425	30775	41466
426	30840	41385
427	30908	41307
428	30985	41241
429	31056	41167
430	31126	41093
431	31194	41015
432	31263	40938
433	31327	40855
434	31386	40766
435	31447	40680
436	31513	40600
437	31583	40525
438	31643	40436
439	31703	40349
440	31766	40266
441	31830	40184
442	31895	40103
443	31960	40022
444	32023	39939
445	32089	39859
446	32156	39781
447	32217	39696
448	32272	39603
449	32327	39511
450	32385	39422
451	32452	39345
452	32520	39268
453	32578	39179
454	32635	39090
455	32692	39001
456	32750	38913
457	32811	38828
458	32877	38751
459	32953	38684
460	33022	38609
461	33079	38521
462	33136	38432
463	33194	38345
464	33253	38259
465	33309	38170
466	33362	38077
467	33421	37991
468	33479	37905
469	33544	37826
470	33604	37742
471	33667	37661
472	33725	37576
473	33797	37505
474	33867	37432
475	34020	37450
476	34104	37393
477	34176	37322
478	34249	37253
479	34319	37179
480	34390	37107
481	34460	37034
482	34527	36957
483	34593	36881
484	34659	36802
485	34725	36726
486	34788	36646
487	34858	36573
488	34925	36496
489	34994	36422
490	35060	36345
491	35128	36270
492	35333	36336
493	35414	36274
494	35480	36197
495	35537	36110
496	35589	36019
497	35643	35929
498	35692	35835
499	35751	35751
500	35824	35681
501	35893	35607
502	35964	35535
503	36063	35491
504	36141	35425
505	36252	35392
506	36324	35321
507	36392	35246
508	36462	35173
509	36531	35098
510	36603	35028
511	36673	34954
512	36741	34879
513	36813	34808
514	36880	34731
515	36950	34658
516	37018	34583
517	37082	34505
518	37147	34427
519	37209	34347
520	37271	34267
521	37337	34190
522	37401	34111
523	37463	34031
524	37528	33954
525	37610	33892
526	37689	33827
527	37771	33765
528	37870	33718
529	37975	33676
530	38078	33632
531	38156	33566
532	38227	33494
533	38299	33422
534	38371	33350
535	38439	33276
536	38593	33275
537	38665	33203
538	38738	33132
539	38800	33052
540	38867	32976
541	38934	32900
542	39001	32824
543	39080	32758
544	39195	32722
545	39272	32655
546	39346	32585
547	39447	32536
548	39522	32467
549	39641	32433
550	39707	32356
551	39808	32308
552	39887	32241
553	39959	32169
554	40039	32104
555	40116	32035
556	40190	31964
557	40271	31899
558	40344	31828
559	40558	31867
560	40621	31787
561	40697	31718
562	40772	31647
563	40840	31571
564	40907	31494
565	40973	31417
566	41040	31341
567	41110	31267
568	41171	31186
569	41229	31102
570	41286	31018
571	41343	30935
572	41396	30848
573	41460	30770
574	41521	30689
575	41578	30606
576	41633	30521
577	41695	30441
578	41751	30358
579	41813	30278
580	41875	30199
581	41935	30118
582	41989	30033
583	42041	29947
584	42091	29859
585	42150	29778
586	42205	29694
587	42262	29612
588	42318	29529
589	42373	29445
590	42423	29358
591	42478	29275
592	42532	29192
593	42586	29108
594	42640	29024
595	42695	28941
596	42749	28857
597	42811	28779
598	42867	28697
599	42923	28615
600	42971	28528
601	43025	28445
602	43079	28362
603	43134	28280
604	43190	28198
605	43242	28114
606	43296	28032
607	43349	27948
608	43399	27864
609	43457	27784
610	43515	27704
611	43569	27622
612	43622	27539
613	43677	27458
614	43731	27376
615	43789	27297
616	43846	27217
617	43895	27132
618	43949	27051
619	44004	26970
620	44053	26886
621	44110	26806
622	44166	26727
623	44219	26645
624	44276	26565
625	44328	26483
626	44381	26402
627	44436	26322
628	44497	26245
629	44558	26169
630	44616	26091
631	44674	26013
632	44730	25933
633	44791	25857
634	44851	25780
635	44908	25702
636	44963	25623
637	45018	25543
638	45076	25465
639	45136	25389
640	45191	25309
641	45246	25230
642	45302	25152
643	45350	25069
644	45405	24990
645	45461	24912
646	45523	24837
647	45590	24765
648	45654	24691
649	45714	24615
650	45775	24540
651	45829	24461
652	45894	24388
653	45955	24312
654	46015	24237
655	46069	24158
656	46126	24081
657	46182	24003
658	46238	23926
659	46297	23850
660	46355	23773
661	46411	23696
662	46469	23620
663	46521	23541
664	46585	23467
665	46652	23396
