iter	F1	Logloss
0	0.9618218293	0.497664602
1	0.9629099422	0.362715896
2	0.9640132823	0.272726955
3	0.9635291421	0.2153384915
4	0.9640741191	0.1831513312
5	0.9651057153	0.1572665995
6	0.966251277	0.1365159085
7	0.9669472249	0.1220385269
8	0.967407504	0.1125396681
9	0.9676603449	0.1061875033
10	0.96825903	0.1005219423
11	0.9693391094	0.09516098324
12	0.9707433321	0.08974012939
13	0.9716801779	0.08609042519
14	0.972302093	0.08324458366
15	0.9729331128	0.08036285154
16	0.9732280924	0.07764576526
17	0.9743756256	0.07519737487
18	0.975223894	0.07213571511
19	0.9764272848	0.07004109074
20	0.9771099269	0.06782298974
21	0.9773343232	0.06639779821
22	0.9780654216	0.06522487997
23	0.9784853508	0.06383262893
24	0.9787022084	0.06212574223
25	0.9792015855	0.06035497927
26	0.9796083299	0.05905719034
27	0.9801063761	0.05755646545
28	0.9804033592	0.0563296632
29	0.9808476985	0.05509020329
30	0.9812996164	0.05389051798
31	0.9817732661	0.05277513702
32	0.9821314315	0.05201967757
33	0.9823179471	0.05136064434
34	0.9826643434	0.05045562942
35	0.9832721247	0.04950033462
36	0.9834260049	0.04862308995
37	0.9837980071	0.04765974116
38	0.9840836703	0.04700939888
39	0.9845305417	0.04624268001
40	0.9849426003	0.04534615345
41	0.9853022974	0.04450838243
42	0.9855098251	0.04349633241
43	0.9862546011	0.04282313857
44	0.9867111037	0.04200305135
45	0.9871538034	0.0415368527
46	0.9874674696	0.04107956107
47	0.9878935485	0.0403120152
48	0.9880660099	0.03962658375
49	0.9885566564	0.0382080825
50	0.9888298651	0.0375122635
51	0.9890578964	0.03677129387
52	0.9893385085	0.03616399276
53	0.9896516782	0.03555880967
54	0.9898376777	0.03497618937
55	0.9901239439	0.03446294277
56	0.9903949293	0.03384389083
57	0.9906964481	0.03344390308
58	0.9908467428	0.03284468357
59	0.9911128926	0.03221418777
60	0.9914627936	0.03162502535
61	0.9916258437	0.03121683815
62	0.9919585644	0.0307362553
63	0.9922168052	0.03024353928
64	0.9923873258	0.02973205027
65	0.9925208001	0.0294391773
66	0.9926877781	0.02895884603
67	0.9928387966	0.0285153326
68	0.9931970081	0.02804514673
69	0.9932682569	0.02771967019
70	0.9934418545	0.0274064302
71	0.9935949166	0.02702617548
72	0.9938556713	0.02648126725
73	0.9940376312	0.02615860817
74	0.9940596861	0.02585063929
75	0.9942037828	0.02563283984
76	0.9943633952	0.02518512015
77	0.9945431279	0.02481516453
78	0.9947361908	0.02435642463
79	0.9948514204	0.02404593485
80	0.9948867076	0.02375198477
81	0.9950799426	0.02347478562
82	0.9951509609	0.02316711011
83	0.9952217163	0.0228914785
84	0.9954209197	0.02261614084
85	0.9954718748	0.02239776316
86	0.9954808499	0.02214200001
87	0.9955186267	0.02182359901
88	0.9955650576	0.02150340455
89	0.9956890459	0.0211825299
90	0.9958062714	0.0208889775
91	0.9958815749	0.02072917117
92	0.9958816294	0.0205984877
93	0.9959921831	0.0202889798
94	0.9961009255	0.02004151999
95	0.9962357294	0.01985202774
96	0.9962976455	0.01966597326
97	0.9964084282	0.01947715519
98	0.9964150585	0.01924474317
99	0.9964857288	0.01907655538
100	0.9965608734	0.01884646418
101	0.9966073711	0.01867123632
102	0.9966715372	0.01845916299
103	0.9966294144	0.01825223305
104	0.9966823023	0.0180389645
105	0.9967420095	0.01791313748
106	0.9968413873	0.01757130101
107	0.9969541937	0.01729868161
